dist_id,cty_nm,adm_nm,road_1,road_2,road_3,road_4,poi_1,poi_2,poi_3,dist_nm,dist_desc
11215710_010,광진구,화양동,능동로16길,광나루로24길,광나루로30길,아차산로,건국대학교,건국대학교사범대학부속중고교,건국대학교사범대학부속고교,건국대·능동로16길 일대,"건국대학교 인접, 간선도로 축을 따라 이동이 편리하며 캠퍼스 배후 주거 중심의 생활권"
11215710_011,광진구,화양동,능동로,아차산로,능동로16길,군자로,건국대학교,캠퍼니안아파텔,,건국대·군자로 캠퍼스상권,"건국대학교 인접, 간선도로 축을 따라 이동이 편리하며 대학가 수요로 상업 활동이 활발한 주거·상업 혼합지역"
11215710_020,광진구,화양동,능동로13길,아차산로33길,군자로3길,군자로,서울화양초등학교,햇님공원,햇님어린이공원,능동로13길·아차산로33길 일대,"군자로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215710_021,광진구,화양동,광나루로,광나루로12길,동일로30길,동일로,건대입구역,건대입구,화양동현대아파트,건대입구역·광나루로12길 일대,"건대입구역 인접, 대중교통 접근성이 좋고 역세권 배후의 주거 중심 생활권"
11215710_030,광진구,화양동,아차산로33길,능동로,능동로13길,동일로22길,캠퍼스아파트,화양공원,,아차산로33길 일대,"능동로 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215710_040,광진구,화양동,군자로,능동로15길,능동로,군자로2길,나루몽도서관,화양정터,화양동주민센터,군자로2길 일대,"군자로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215730_010,광진구,군자동,군자로,동일로,동일로50길,동일로56길,호동아파트,세종사이버대학교,세종사이버대학교정보보호대학원,동일로50길 일대,"세종사이버대학교 인접, 간선도로 축을 따라 이동이 편리하며 캠퍼스 배후 주거 중심의 생활권"
11215730_020,광진구,군자동,능동로,광나루로,광나루로19길,군자로,어린이대공원(세종대)역,두산위브파크,서울장안초등학교,어린이대공원역·광나루로19길 일대,"어린이대공원(세종대)역 인접, 대중교통 접근성이 좋고 캠퍼스 배후 주거 중심의 생활권"
11215730_030,광진구,군자동,능동로21길,능동로23길,능동로,능동로27가길,군자,군자역(능동),군자동복합청사,군자역·능동로21길 일대,"군자역(능동) 인접, 대중교통 접근성이 좋고 역세권 배후의 주거 중심 생활권"
11215730_040,광진구,군자동,동일로,동일로54길,동일로52길,동일로56길,선미유치원,군자동도서관,군자동주민센터,동일로54길 일대,"동일로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215730_050,광진구,군자동,동일로,광나루로13길,광나루로,동일로32길,파라곤아파트,홍익봄마을아파트,대원제약중앙연구소,동일로32길 일대,"동일로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215740_010,광진구,중곡제1동,동일로,동부간선로,천호대로,긴고랑로,,,,동부간선로·천호대로 교차 일대,"동일로 주변, 간선도로 축을 따라 이동이 편리하며 도로변 상업축과 주거 배후가 공존하는 생활권"
11215740_020,광진구,중곡제1동,면목로7길,동일로64길,긴고랑로8길,천호대로101길,호동아파트,구립중곡1동자람터어린이집,중곡1동마을마당공원,긴고랑로8길 일대,"면목로7길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215740_030,광진구,중곡제1동,천호대로107길,면목로,능동로41길,능동로39길,더페이퍼랩,삼보글로벌아파트,중곡1동주민센터,천호대로107길·면목로 일대,"면목로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215740_040,광진구,중곡제1동,긴고랑로11길,긴고랑로9길,능동로47길,능동로49길,광남캐스빌,한영해시안아파트,중곡공원,긴고랑로11길·능동로47길 일대,"긴고랑로11길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215740_050,광진구,중곡제1동,천호대로,동일로62길,천호대로105길,면목로,진흥아르마아파트,,,천호대로105길 일대,"천호대로 주변, 간선도로 축을 따라 이동이 편리하며 도로변 상업축과 주거 배후가 공존하는 생활권"
11215750_010,광진구,중곡제2동,천호대로113길,천호대로111길,능동로42길,용마산로3길,어린이작은도서관,서울용마초등학교,그랑아파트,천호대로113길 일대,"천호대로113길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215750_020,광진구,중곡제2동,긴고랑로16길,능동로,능동로42길,능동로40길,예일유치원,중곡2파출소,서울광진경창서중곡2파출소,능동로40길 일대,"능동로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215750_030,광진구,중곡제2동,용마산로,긴고랑로29길,긴고랑로,긴고랑로30길,웰빙아파트,삼민아파트,,용마산로·긴고랑로29길 일대,"용마산로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215760_010,광진구,중곡제3동,동일로,동부간선로,답십리로,동일로80길,중랑천체육공원게이트볼장,중랑천체육공원배드민턴장,중랑천체육공원농구장,중랑천변 일대,"동일로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215760_020,광진구,중곡제3동,동일로76길,동일로78길,동일로76가길,면목로,배나무터공원,광덕아파트,배나무터어린이공원,배나무터공원 일대,"면목로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215760_030,광진구,중곡제3동,긴고랑로13길,능동로,능동로49길,능동로51길,서울중광초등학교도서관,중곡,KEPCO아파트,긴고랑로13길 일대,"능동로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215760_040,광진구,중곡제3동,면목로,긴고랑로7길,동일로72길,면목로11길,서울중마초등학교,서울중마초등학교도서관,서울중마초교,면목로11길 일대,"면목로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215760_050,광진구,중곡제3동,능동로55길,능동로59길,능동로57길,면목로,중곡문화체육센터,중곡3동마을마당,서울중곡3동우편취급국,중곡문화체육센터 일대,"면목로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215760_060,광진구,중곡제3동,능동로,능동로50길,용마산로23길,용마산로21길,중앙교육문화사,중곡3동새마을작은도서관,국립정신건강센터의학정보실,국립정신건강센터·용마산로21길 일대,"능동로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215770_010,광진구,중곡제4동,긴고랑로,용마산로36길,용마산로28길,용마산로22길,긴고랑계곡,아차산유아숲체험원,,긴고랑로·용마산로36길 일대,"긴고랑로 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215770_011,광진구,중곡제4동,영화사로9가길,영화사로9길,영화사로3길,긴고랑로39길,대원여자고등학교,대원여고,대원외국어고등학교,영화사로9길 일대,"영화사로9가길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215770_012,광진구,중곡제4동,용마산로22길,용마산로8가길,용마산로24길,용마산로21길,중곡4파출소,서울광진경찰서중곡4파출소,중곡119안전센터,용마산로22길 일대,"용마산로22길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215770_020,광진구,중곡제4동,용마산로8나길,용마산로8길,용마산로8가길,긴고랑로39길,해오름공원,해오름어린이공원,대영아파트,해오름공원 일대,"용마산로8나길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215770_021,광진구,중곡제4동,용마산로,용마산로8가길,용마산로10길,용마산로16길,랜드아파트,삼성로얄아파트,삼성로얄아파트2차,용마산로10길 일대,"용마산로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215770_030,광진구,중곡제4동,용마산로28길,용마산로30길,용마산로28가길,용마산로,에스케이아파트,,,용마산로28길 일대,"용마산로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215770_040,광진구,중곡제4동,자양로43길,용마산로,용마산로2길,용마산로4길,운룡도서관,욱현아파트,,자양로43길 일대,"용마산로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215780_010,광진구,능동,천호대로124길,능동로24길,능동로,천호대로116길,광나루안전체험관,아리수나라,능동119안전센터,천호대로124길·능동로24길 일대,"능동로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215780_011,광진구,능동,광나루로,능동로,광나루로24길,광나루로22길,어린이대공원,어린이회관,육영재단어린이회관,어린이대공원·광나루로22길 일대,"어린이대공원 인접, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215780_020,광진구,능동,천호대로,능동로36길,천호대로124길,천호대로122길,,,,천호대로122길·능동로36길 일대,"천호대로 주변, 간선도로 축을 따라 이동이 편리하며 도로변 상업축과 주거 배후가 공존하는 생활권"
11215780_030,광진구,능동,능동로,능동로24길,천호대로110길,능동로26길,치성당,능동정자마당소공원,능동새마을작은도서관,능동로26길 일대,"능동로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215780_040,광진구,능동,능동로34길,능동로32길,천호대로116길,천호대로114길,구립능동꿈맞이어린이집,,,능동로34길 일대,"능동로34길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215810_010,광진구,광장동,강변북로,광나루로,천호대로,강동대로,,,,강변북로·강동대로 광장 교통축,"강변북로 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215810_020,광진구,광장동,강변북로,아차산로70길,아차산로,천호대로,광장현대5단지아파트,광남초등학교,광남중교체육관,아차산로70길 일대,"강변북로 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215810_030,광진구,광장동,강변북로,아차산로,아차산로78길,구천면로,광나루현대아파트,다강리버빌,워커힐유진스웰,아차산로78길 일대,"강변북로 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215810_040,광진구,광장동,강변북로,구천면로,,,흥화빌라트,,,구천면로·강변북로변,"강변북로 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215810_050,광진구,광장동,아차산로,천호대로140길,워커힐로,광나루로52길,광장청구아파트,광장동현대9단지아파트,광장자이아파트,워커힐로 초입 일대,"아차산로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215810_060,광진구,광장동,아차산로,천호대로140길,천호대로,천호대로141길,성동광진지사,광장동현대파크빌,광장현대파크빌도서관,천호대로141길 일대,"아차산로 주변, 간선도로 축을 따라 이동이 편리하며 도로변 상업축과 주거 배후가 공존하는 생활권"
11215810_070,광진구,광장동,구천면로,천호대로,강변북로,아차산로,광진구민체육센터수영장,광진구민체육센터,광장동체육공원인라인스케이트장,광진구민체육센터 일대,"구천면로 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215810_080,광진구,광장동,아차산로66길,아차산로70길,광나루로,아차산로,광장현대3단지아파트,광남유치원,광장현대8단지아파트,아차산로66길 일대,"광나루로 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215810_090,광진구,광장동,워커힐로,광나루로,광장로,천호대로140길,서울아파트,광장금호베스트빌아파트,,워커힐로·광장로 일대,"워커힐로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215810_100,광진구,광장동,워커힐로,광장로1다길,광장로1가길,천호대로,광장중교,광장중학교,광장중학교도서관,광장로1가길 일대,"워커힐로 주변, 간선도로 축을 따라 이동이 편리하며 도로변 상업축과 주거 배후가 공존하는 생활권"
11215810_110,광진구,광장동,아차산로,워커힐로,영화사로,영화사로20길,아차산숲속도서관,,,아차산로·워커힐로 일대,"아차산로 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215810_111,광진구,광장동,광장로1다길,워커힐로,광장로1길,광장로7길,서울장로회신학대학교우편취급국,장로회신학대학교,장로회신학대학교도서관,장신대·광장로7길 일대,"워커힐로 주변, 간선도로 축을 따라 이동이 편리하며 캠퍼스 배후 주거 중심의 생활권"
11215810_112,광진구,광장동,아차산로,워커힐로,광장로7길,광장로,광나루터,워커힐아파트,,광나루터 일대,"아차산로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215810_120,광진구,광장동,영화사로20길,워커힐로,영화사로,광장로1다길,,,,영화사로20길·워커힐로 아차산자락 일대,"워커힐로 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215810_130,광진구,광장동,아차산로73길,천호대로,천호대로145길,아차산로,광나루(장신대)역,광나루역(장신대),은달공원,광나루역·천호대로145길 일대,"광나루(장신대)역 인접, 대중교통 접근성이 좋고 역세권 유동을 기반으로 상업·주거가 혼합된 지역"
11215810_140,광진구,광장동,천호대로140길,광장로,워커힐로,천호대로,서울양진초교,서울양진초등학교,광장동실내배드민턴장,천호대로140길 일대,"광장로 주변, 간선도로 축을 따라 이동이 편리하며 도로변 상업축과 주거 배후가 공존하는 생활권"
11215810_150,광진구,광장동,아차산로76가길,구천면로,아차산로76길,아차산로78길,연세리버빌6차,현대리버빌,워커힐푸르지오아파트,아차산로76길 일대,"구천면로 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215820_010,광진구,자양제1동,자양로15길,아차산로44길,아차산로,아차산로40길,해오름태천아파트,,,자양로15길 일대,"아차산로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215820_020,광진구,자양제1동,자양로,자양로21길,자양로23길,아차산로41길,래미안프리미어팰리스,구의현대하이엘,세모꼴소공원,자양로21길 일대,"자양로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215820_030,광진구,자양제1동,뚝섬로51길,자양로13길,자양로13다길,자양로13나길,선린동산작은도서관,정말어린이공원,도성아파트,뚝섬로51길 일대,"뚝섬로51길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
